filename,path,size_bytes,modified,category,source_notebook,description
scene_count_by_year.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\scene_count_by_year.png,81718.0,1774018011.890057,,,
scene_count_heatmap.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\scene_count_heatmap.png,173293.0,1774018011.7460265,,,
scene_count_small_multiples.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\scene_count_small_multiples.png,184123.0,1774018014.0087044,,,
scene_count_trends.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\scene_count_trends.png,291368.0,1774018012.3490758,,,
scene_share_2025_pie.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\scene_share_2025_pie.png,148573.0,1774018014.1881251,,,
sentinel1_quicklook_kurigram_2025.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\sentinel1_quicklook_kurigram_2025.png,2089346.0,1774096225.3407516,,,
sentinel1_quicklook_sirajganj_2025.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\sentinel1_quicklook_sirajganj_2025.png,2507931.0,1774096225.7859137,,,
sentinel1_quicklook_sunamganj_2025.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\sentinel1_quicklook_sunamganj_2025.png,2132753.0,1774096224.8886993,,,
station_region_matrix.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\station_region_matrix.png,117127.0,1774018014.6157386,,,
study_area_bboxes.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\study_area_bboxes.png,383312.0,1774096145.0178442,,,
study_area_bboxes_fixed.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\study_area_bboxes_fixed.png,444905.0,1774096145.4071646,,,
study_catalog_timeline.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\study_catalog_timeline.png,73432.0,1774018012.5444503,,,
threshold_tradeoff_casa_net_strict.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\threshold_tradeoff_casa_net_strict.png,185792.0,1774096224.4054148,,,
uncertainty_sample_patches.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\uncertainty_sample_patches.png,92261.0,1774002398.2338252,,,
unosat_multiyear_flood_extent_examples.png,f:\MAPATHON\sylhet_flood_2024\outputs\figures\unosat_multiyear_flood_extent_examples.png,2726923.0,1774096389.0069094,,,
